year,sex,level_of_school,academic_qualification,number_of_vice_principals
2009,MF,PRE-UNIVERSITY,MASTERS DEGREE,15
2009,F,PRE-UNIVERSITY,MASTERS DEGREE,8
2009,MF,PRIMARY,PHD,0
2009,F,PRIMARY,PHD,0
2009,MF,SECONDARY,PHD,1
2009,F,SECONDARY,PHD,0
2009,MF,PRE-UNIVERSITY,PHD,0
2009,F,PRE-UNIVERSITY,PHD,0
2010,MF,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,18
2010,F,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,10
2010,MF,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,2
2010,F,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,1
2010,MF,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2010,F,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2010,MF,PRIMARY,PASS DEGREE,94
2010,F,PRIMARY,PASS DEGREE,69
2010,MF,SECONDARY,PASS DEGREE,74
2010,F,SECONDARY,PASS DEGREE,46
2010,MF,PRE-UNIVERSITY,PASS DEGREE,5
2010,F,PRE-UNIVERSITY,PASS DEGREE,5
2010,MF,PRIMARY,HONOURS DEGREE,38
2010,F,PRIMARY,HONOURS DEGREE,25
2010,MF,SECONDARY,HONOURS DEGREE,87
2010,F,SECONDARY,HONOURS DEGREE,51
2010,MF,PRE-UNIVERSITY,HONOURS DEGREE,8
2010,F,PRE-UNIVERSITY,HONOURS DEGREE,5
2010,MF,PRIMARY,MASTERS DEGREE,74
2010,F,PRIMARY,MASTERS DEGREE,50
2010,MF,SECONDARY,MASTERS DEGREE,89
2010,F,SECONDARY,MASTERS DEGREE,46
2010,MF,PRE-UNIVERSITY,MASTERS DEGREE,18
2010,F,PRE-UNIVERSITY,MASTERS DEGREE,7
2010,MF,PRIMARY,PHD,0
2010,F,PRIMARY,PHD,0
2010,MF,SECONDARY,PHD,2
2010,F,SECONDARY,PHD,0
2010,MF,PRE-UNIVERSITY,PHD,0
2010,F,PRE-UNIVERSITY,PHD,0
2011,MF,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,18
2011,F,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,12
2011,MF,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,1
2011,F,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2011,MF,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2011,F,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2011,MF,PRIMARY,PASS DEGREE,103
2011,F,PRIMARY,PASS DEGREE,74
2011,MF,SECONDARY,PASS DEGREE,81
2011,F,SECONDARY,PASS DEGREE,47
2011,MF,PRE-UNIVERSITY,PASS DEGREE,5
2011,F,PRE-UNIVERSITY,PASS DEGREE,5
2011,MF,PRIMARY,HONOURS DEGREE,46
2011,F,PRIMARY,HONOURS DEGREE,29
2011,MF,SECONDARY,HONOURS DEGREE,89
2011,F,SECONDARY,HONOURS DEGREE,44
