year,sex,level_of_school,age,no_of_vice_principals
2015,MF,PRIMARY,35 - 39,36
2015,F,PRIMARY,35 - 39,26
2015,MF,SECONDARY,35 - 39,58
2015,F,SECONDARY,35 - 39,21
2015,MF,PRE-UNIVERSITY,35 - 39,18
2015,F,PRE-UNIVERSITY,35 - 39,5
2015,MF,PRIMARY,40 - 44,113
2015,F,PRIMARY,40 - 44,70
2015,MF,SECONDARY,40 - 44,87
2015,F,SECONDARY,40 - 44,38
2015,MF,PRE-UNIVERSITY,40 - 44,8
2015,F,PRE-UNIVERSITY,40 - 44,2
2015,MF,PRIMARY,45 - 49,68
2015,F,PRIMARY,45 - 49,43
2015,MF,SECONDARY,45 - 49,63
2015,F,SECONDARY,45 - 49,28
2015,MF,PRE-UNIVERSITY,45 - 49,4
2015,F,PRE-UNIVERSITY,45 - 49,2
2015,MF,PRIMARY,50 - 54,46
2015,F,PRIMARY,50 - 54,35
2015,MF,SECONDARY,50 - 54,46
2015,F,SECONDARY,50 - 54,29
2015,MF,PRE-UNIVERSITY,50 - 54,5
2015,F,PRE-UNIVERSITY,50 - 54,3
2016,MF,PRIMARY,30 - 34,2
2016,F,PRIMARY,30 - 34,2
2016,MF,SECONDARY,30 - 34,8
2016,F,SECONDARY,30 - 34,6
2016,MF,PRE-UNIVERSITY,30 - 34,2
2016,F,PRE-UNIVERSITY,30 - 34,2
2016,MF,PRIMARY,35 - 39,29
2016,F,PRIMARY,35 - 39,21
2016,MF,SECONDARY,35 - 39,47
2016,F,SECONDARY,35 - 39,18
2016,MF,PRE-UNIVERSITY,35 - 39,13
2016,F,PRE-UNIVERSITY,35 - 39,5
2016,MF,PRIMARY,40 - 44,102
2016,F,PRIMARY,40 - 44,67
2016,MF,SECONDARY,40 - 44,77
2016,F,SECONDARY,40 - 44,28
